Distance1	sample4400	sample5101	sample5117	sample5124	sample5127	sample5129	sample5130	sample5131	sample5132	sample5134	sampleARA_1_EX_1_EAZU	sampleARA_1_EX_2_EAZU	sampleARA_BAN_EAZU_EX_1
sample4400	0	0.0240764	0.0562896	0.0550366	0.0597561	0.0492102	0.0554574	0.0587067	0.056044	0.0589333	0.0573806	0.0548085	0.0562447
sample5101	0.0240764	0	0.0544923	0.0522849	0.0542753	0.0564381	0.0550562	0.0543356	0.0540359	0.0553496	0.0558231	0.0528067	0.0535714
sample5117	0.0562896	0.0544923	0	0.00488115	0.0308491	0.0284796	0.0039491	0.00431253	0.00462148	0.00365497	0.00432339	0.00381679	0.0029838
sample5124	0.0550366	0.0522849	0.00488115	0	0.0373007	0.0273064	0.00589777	0.00499049	0.00621118	0.00601892	0.00446429	0.0053281	0.00462677
sample5127	0.0597561	0.0542753	0.0308491	0.0373007	0	0.0410765	0.0333914	0.0325815	0.0372402	0.0314408	0.033711	0.0330861	0.0356133
sample5129	0.0492102	0.0564381	0.0284796	0.0273064	0.0410765	0	0.0289777	0.0279188	0.0312833	0.0298851	0.0273109	0.0272013	0.0265036
sample5130	0.0554574	0.0550562	0.0039491	0.00589777	0.0333914	0.0289777	0	0.00403609	0.00455182	0.00499566	0.00346741	0.00619094	0.00474737
sample5131	0.0587067	0.0543356	0.00431253	0.00499049	0.0325815	0.0279188	0.00403609	0	0.00519603	0.00410467	0.00306315	0.00374181	0.00514259
sample5132	0.056044	0.0540359	0.00462148	0.00621118	0.0372402	0.0312833	0.00455182	0.00519603	0	0.005	0.00369198	0.0034642	0.00423298
sample5134	0.0589333	0.0553496	0.00365497	0.00601892	0.0314408	0.0298851	0.00499566	0.00410467	0.005	0	0.0030837	0.00386432	0.0044738
sampleARA_1_EX_1_EAZU	0.0573806	0.0558231	0.00432339	0.00446429	0.033711	0.0273109	0.00346741	0.00306315	0.00369198	0.0030837	0	0.0023977	0.00364359
sampleARA_1_EX_2_EAZU	0.0548085	0.0528067	0.00381679	0.0053281	0.0330861	0.0272013	0.00619094	0.00374181	0.0034642	0.00386432	0.0023977	0	0.00420561
sampleARA_BAN_EAZU_EX_1	0.0562447	0.0535714	0.0029838	0.00462677	0.0356133	0.0265036	0.00474737	0.00514259	0.00423298	0.0044738	0.00364359	0.00420561	0
