Distance1	sample4303	sample4305	sample4319	sample4320	sample4321	sample4322	sample4323	sample4332	sample4333	sample4362	sample4363	sample4364	sample4365	sample4366	sample4367	sample4368	sampleP4_RIO_MAM_EAZU_EX_2	sampleP4_RO_EAZU_EX_1
sample4303	0	0.0466418	0.0596269	0.00448325	0.0588393	0.00859107	0.0576717	0.0589216	0.0574456	0.00492264	0.0933247	0.0955653	0.100061	0.0926724	0.0949089	0.101418	0.0502373	0.0540803
sample4305	0.0466418	0	0.0547619	0.0427376	0.0474233	0.0504227	0.0468547	0.04133	0.0468241	0.0424528	0.0952272	0.0922573	0.090505	0.0933442	0.088978	0.0950242	0.0543143	0.055938
sample4319	0.0596269	0.0547619	0	0.0642361	0.0630499	0.0615438	0.062065	0.054038	0.0493039	0.0586329	0.0841772	0.085625	0.0859912	0.0834921	0.0845612	0.08914	0.0438247	0.0431586
sample4320	0.00448325	0.0427376	0.0642361	0	0.0511019	0.0102592	0.052243	0.0457198	0.0527831	0.00616308	0.107646	0.105954	0.102886	0.103454	0.101716	0.104189	0.0552147	0.0533708
sample4321	0.0588393	0.0474233	0.0630499	0.0511019	0	0.0664086	0.00585938	0.0473866	0.0519841	0.0533647	0.105556	0.0994575	0.0962549	0.100269	0.0982382	0.0991077	0.0545868	0.0536111
sample4322	0.00859107	0.0504227	0.0615438	0.0102592	0.0664086	0	0.0621995	0.0590994	0.0575139	0.0107066	0.0957827	0.0999304	0.100274	0.0982517	0.0967967	0.106625	0.0550571	0.0565187
sample4323	0.0576717	0.0468547	0.062065	0.052243	0.00585938	0.0621995	0	0.0457326	0.0503753	0.0538125	0.1004	0.0981752	0.0950345	0.100956	0.0993849	0.0993538	0.049505	0.0494137
sample4332	0.0589216	0.04133	0.054038	0.0457198	0.0473866	0.0590994	0.0457326	0	0.00566816	0.0510989	0.0993747	0.101452	0.0955414	0.0972536	0.0977119	0.0994194	0.0412675	0.0399125
sample4333	0.0574456	0.0468241	0.0493039	0.0527831	0.0519841	0.0575139	0.0503753	0.00566816	0	0.0528559	0.0824635	0.0858609	0.0851886	0.0827735	0.0832522	0.0904018	0.0377698	0.0362708
sample4362	0.00492264	0.0424528	0.0586329	0.00616308	0.0533647	0.0107066	0.0538125	0.0510989	0.0528559	0	0.1	0.0978166	0.0999174	0.0982183	0.095386	0.103129	0.0486891	0.0511945
sample4363	0.0933247	0.0952272	0.0841772	0.107646	0.105556	0.0957827	0.1004	0.0993747	0.0824635	0.1	0	0.00379789	0.00568736	0.00475705	0.00507271	0.00458565	0.0897098	0.0901418
sample4364	0.0955653	0.0922573	0.085625	0.105954	0.0994575	0.0999304	0.0981752	0.101452	0.0858609	0.0978166	0.00379789	0	0.00424291	0.00502216	0.00516072	0.00498034	0.0874126	0.0906394
sample4365	0.100061	0.090505	0.0859912	0.102886	0.0962549	0.100274	0.0950345	0.0955414	0.0851886	0.0999174	0.00568736	0.00424291	0	0.00555093	0.00513604	0.00505631	0.0901568	0.0918367
sample4366	0.0926724	0.0933442	0.0834921	0.103454	0.100269	0.0982517	0.100956	0.0972536	0.0827735	0.0982183	0.00475705	0.00502216	0.00555093	0	0.00289899	0.00588895	0.0882096	0.0902732
sample4367	0.0949089	0.088978	0.0845612	0.101716	0.0982382	0.0967967	0.0993849	0.0977119	0.0832522	0.095386	0.00507271	0.00516072	0.00513604	0.00289899	0	0.00530134	0.0890351	0.0916667
sample4368	0.101418	0.0950242	0.08914	0.104189	0.0991077	0.106625	0.0993538	0.0994194	0.0904018	0.103129	0.00458565	0.00498034	0.00505631	0.00588895	0.00530134	0	0.0954266	0.0977124
sampleP4_RIO_MAM_EAZU_EX_2	0.0502373	0.0543143	0.0438247	0.0552147	0.0545868	0.0550571	0.049505	0.0412675	0.0377698	0.0486891	0.0897098	0.0874126	0.0901568	0.0882096	0.0890351	0.0954266	0	0.00300802
sampleP4_RO_EAZU_EX_1	0.0540803	0.055938	0.0431586	0.0533708	0.0536111	0.0565187	0.0494137	0.0399125	0.0362708	0.0511945	0.0901418	0.0906394	0.0918367	0.0902732	0.0916667	0.0977124	0.00300802	0
