Distance1	sample1000503	sample1000507	sample1000515	sample1000522	sample1000524	sample1000525	sample1000526	sample1000527	sample1000535	sample1000539	sample1000546	sample1000549	sample215	sample216	sample225	sample226	sample228	sample229	sample2304	sample2314	sample2317	sample2325	sample2326	sample2346	sample2347	sample2359	sample2360	sample2368	sample2369	sample2379	sample2380	sample2391	sample2392	sample277	sample279	sample32005	sample32007	sample32017	sample32018	sample32031	sample32032	sample32041	sample32051	sample32053	sample32054	sample32056	sample32066	sample32067	sample32077	sample32078	sample32090	sample32091	sample35202	sample35204	sample35219	sample35221	sample35235	sample35236	sample35237	sample35245	sample35246	sample35248	sample35251	sample35254	sample35255	sample35257	sample35259	sample35273	sample35274	sample35284
sample1000503	0	0.00388749	0.0449512	0.0711914	0.0489045	0.0415767	0.0697538	0.0456102	0.0486674	0.0497523	0.0441542	0.043713	0.0486191	0.0485179	0.0539765	0.0580948	0.0555046	0.0530051	0.0524194	0.0445223	0.0466059	0.0470526	0.062341	0.0498739	0.0458692	0.04677	0.0501845	0.0457701	0.045513	0.0503513	0.0489097	0.0429728	0.0468261	0.0453297	0.0523881	0.0516203	0.0519878	0.0507228	0.0518898	0.0465674	0.047399	0.0503679	0.0559299	0.0479555	0.0504742	0.0500208	0.0522256	0.0470032	0.0509397	0.0512725	0.051979	0.045283	0.052498	0.0514781	0.0539953	0.0518063	0.0521845	0.0530986	0.0563135	0.057904	0.0522948	0.0524746	0.0582472	0.0549121	0.0565621	0.05764	0.0481946	0.0454941	0.0496094	0.0531743
sample1000507	0.00388749	0	0.0450365	0.072972	0.0490762	0.0420708	0.0710872	0.0464456	0.0471879	0.0471469	0.0430337	0.0412452	0.0482105	0.0476138	0.0537998	0.05629	0.0550884	0.0535458	0.0487409	0.0439668	0.0446855	0.0469912	0.058382	0.0508974	0.0428289	0.0473985	0.0491361	0.0452834	0.0450501	0.04912	0.047766	0.0409101	0.0458848	0.0447346	0.0467039	0.0510204	0.0505646	0.0474371	0.0515668	0.0447102	0.0465493	0.0474127	0.0551862	0.0488927	0.0509793	0.0524079	0.0495419	0.0446429	0.0480363	0.0477355	0.0500744	0.0438122	0.0538345	0.0478548	0.0533527	0.0503459	0.0517707	0.0533316	0.0559451	0.0577337	0.0510517	0.0521151	0.0589986	0.0539851	0.0560139	0.0560368	0.0480713	0.0470541	0.0454651	0.0531618
sample1000515	0.0449512	0.0450365	0	0.0667634	0.047497	0.0433061	0.0706776	0.0430637	0.0461083	0.045436	0.0415317	0.0408311	0.0490224	0.0468449	0.0518293	0.0515666	0.0491902	0.0514422	0.0548002	0.0450557	0.0497613	0.0452756	0.0651607	0.0474521	0.0450192	0.0462065	0.047892	0.0462608	0.0443578	0.0453192	0.0485556	0.0417488	0.0441176	0.0444757	0.0493173	0.0454419	0.0531858	0.0507122	0.0518823	0.0479858	0.0484313	0.0498498	0.0625561	0.0506517	0.0498809	0.0550459	0.0483298	0.0492415	0.0456238	0.0484742	0.050095	0.0443068	0.0490421	0.0508556	0.0518852	0.0522825	0.0540588	0.0502725	0.0509534	0.0573516	0.0547429	0.048488	0.0577404	0.0514113	0.0546144	0.0521288	0.0465361	0.0483193	0.0493705	0.0492958
sample1000522	0.0711914	0.072972	0.0667634	0	0.0683603	0.0645933	0.073014	0.0627428	0.0660161	0.0658149	0.0649677	0.0661926	0.068076	0.0732805	0.0722243	0.0696742	0.0719667	0.0733545	0.0667825	0.0673491	0.072536	0.0646214	0.0704163	0.0633031	0.0696454	0.0709615	0.0708922	0.0699199	0.0734253	0.0703719	0.0721291	0.0647535	0.0664214	0.068461	0.0695575	0.0712894	0.0757576	0.0772194	0.0786823	0.0720572	0.0722619	0.0731802	0.0775428	0.0727381	0.0709473	0.0729624	0.0759884	0.0723542	0.0740072	0.078456	0.0755331	0.0726786	0.0703371	0.0758234	0.0803419	0.068394	0.0710324	0.0698904	0.0706478	0.0817547	0.0761589	0.0760085	0.0770906	0.079291	0.0794416	0.0728456	0.0670247	0.0678941	0.0720604	0.0645226
sample1000524	0.0489045	0.0490762	0.047497	0.0683603	0	0.00833629	0.0689046	0.0411094	0.0460811	0.0429146	0.047915	0.0494127	0.0519853	0.0567642	0.0496942	0.0492692	0.0474173	0.047619	0.0485685	0.0497667	0.051045	0.0511953	0.0640681	0.0503494	0.0515484	0.0426829	0.0457474	0.0558386	0.0498	0.0566535	0.0515772	0.0450079	0.04465	0.05	0.0523004	0.0473705	0.056781	0.0608803	0.0563103	0.0561122	0.0543033	0.0539916	0.0480212	0.0507304	0.0526868	0.0523763	0.0580888	0.0562038	0.0553132	0.0582313	0.0569268	0.0537485	0.0526066	0.0562624	0.0506224	0.0467902	0.0462202	0.0502542	0.0478047	0.0524425	0.05031	0.04817	0.0510964	0.0496406	0.0546988	0.0578106	0.0541614	0.0521346	0.0545165	0.0504866
sample1000525	0.0415767	0.0420708	0.0433061	0.0645933	0.00833629	0	0.0656977	0.041884	0.0469914	0.0475896	0.0394548	0.0381566	0.042532	0.0487593	0.0505255	0.0542064	0.0512511	0.0494539	0.0467463	0.0436258	0.0463504	0.0492035	0.0636057	0.046698	0.042574	0.0440206	0.0453363	0.045177	0.0430282	0.0489166	0.0449195	0.0381356	0.0386855	0.042589	0.046988	0.0481397	0.052324	0.05139	0.0538462	0.0493631	0.0484447	0.0481276	0.0530201	0.048157	0.0514372	0.0517739	0.0499878	0.0458526	0.0471607	0.0487629	0.0514724	0.0458323	0.0477646	0.0488195	0.0498816	0.0462053	0.04851	0.0474534	0.0480495	0.0572893	0.051792	0.0495825	0.0518107	0.0526104	0.0575811	0.0543298	0.0468315	0.0457646	0.0446542	0.0487302
sample1000526	0.0697538	0.0710872	0.0706776	0.073014	0.0689046	0.0656977	0	0.0298826	0.0634825	0.0663876	0.0757764	0.0660848	0.0834395	0.0846824	0.074813	0.0689024	0.0818299	0.0733831	0.0699746	0.0779703	0.0666259	0.0735108	0.0666118	0.0662291	0.0735826	0.0817536	0.07494	0.0774473	0.0746089	0.08	0.0692308	0.0670807	0.0676179	0.0681818	0.0790725	0.0795869	0.0835544	0.0839793	0.0776637	0.0913706	0.0848823	0.0811856	0.0731857	0.0757946	0.0757576	0.0756193	0.0819462	0.0838396	0.0828295	0.0864799	0.084375	0.0728916	0.0729295	0.0799756	0.0871795	0.0761719	0.0757196	0.0788146	0.0807645	0.0734767	0.0739183	0.0790441	0.090216	0.0740514	0.0744934	0.0743056	0.0698529	0.069697	0.0840237	0.0844391
sample1000527	0.0456102	0.0464456	0.0430637	0.0627428	0.0411094	0.041884	0.0298826	0	0.0437831	0.0455105	0.0430904	0.0410643	0.0477749	0.0549786	0.047576	0.048048	0.0486337	0.0430809	0.0466287	0.0488801	0.046465	0.0482439	0.0556031	0.0453069	0.0468655	0.0457364	0.0439024	0.0413647	0.0449695	0.0489385	0.0479763	0.0442343	0.0440272	0.0501197	0.0508371	0.0458099	0.049435	0.0516535	0.0503043	0.0534445	0.0515171	0.0469208	0.0504032	0.0463259	0.0486756	0.052831	0.0522547	0.0490108	0.0518018	0.0523881	0.0509273	0.0490618	0.0461352	0.0467218	0.0459166	0.0470207	0.0477477	0.045725	0.0461847	0.0534831	0.0460931	0.0499099	0.0519647	0.0497182	0.0555306	0.0573678	0.0446823	0.0460762	0.0527473	0.0487395
sample1000535	0.0486674	0.0471879	0.0461083	0.0660161	0.0460811	0.0469914	0.0634825	0.0437831	0	0.00416516	0.0450068	0.0436663	0.0488699	0.0497604	0.0504909	0.0480442	0.0494943	0.0437767	0.049763	0.0503558	0.0502893	0.0466292	0.0596567	0.0471037	0.0535215	0.0436242	0.0461121	0.0528218	0.0486886	0.0515194	0.0497843	0.0429896	0.0463215	0.0501645	0.0544041	0.0471341	0.0550655	0.0577089	0.055404	0.0563168	0.0516547	0.0560122	0.0553547	0.0475829	0.052785	0.0579741	0.0523887	0.0507207	0.0561101	0.0551202	0.0505911	0.0523915	0.0526	0.0582335	0.0507682	0.0497301	0.0502979	0.0492183	0.0469658	0.0553833	0.0508917	0.0512422	0.0502324	0.0508475	0.0571049	0.0579096	0.0515261	0.0476264	0.0522663	0.0448759
sample1000539	0.0497523	0.0471469	0.045436	0.0658149	0.0429146	0.0475896	0.0663876	0.0455105	0.00416516	0	0.0490558	0.0487201	0.0469813	0.0510033	0.0464403	0.0438304	0.0458015	0.0420833	0.0485411	0.0537173	0.0489702	0.0461866	0.0565693	0.0503691	0.0555556	0.0462428	0.0426724	0.0535345	0.0500208	0.0534649	0.0506302	0.0457689	0.0466749	0.0492611	0.0550102	0.0496439	0.057363	0.0581897	0.0556813	0.056847	0.0534062	0.0548005	0.0536254	0.0521485	0.0529974	0.056902	0.0556723	0.0563956	0.0581729	0.0583402	0.0541841	0.0491294	0.0506143	0.0603015	0.0517316	0.0476744	0.0519031	0.0466999	0.0486859	0.051183	0.05041	0.0494387	0.0527827	0.0485547	0.0523342	0.0529595	0.0523104	0.0506599	0.0542045	0.0450337
