Distance1	sample1000560	sample1000572	sample1000573	sample1000583	sample1000586	sample1000602	sample1000606	sample1000613	sample1000615	sample1000623	sample1000625	sample1000626	sample1000628	sample1000640	sample1000641
sample1000560	0	0.0382536	0.0315729	0.0393236	0.0425841	0.037911	0.036235	0.0395057	0.04375	0.0406951	0.0421228	0.0405405	0.0381274	0.0424837	0.0539846
sample1000572	0.0382536	0	0.0417077	0.0342868	0.0432729	0.0410708	0.0410032	0.0399572	0.0489834	0.0440574	0.0460435	0.0413206	0.0428374	0.0437891	0.0527197
sample1000573	0.0315729	0.0417077	0	0.044586	0.0462487	0.0395065	0.0428677	0.0433007	0.0574454	0.0441914	0.0452339	0.0419017	0.0512704	0.0509795	0.058097
sample1000583	0.0393236	0.0342868	0.044586	0	0.0206438	0.0428042	0.0403509	0.0352462	0.0465538	0.0365169	0.0484531	0.0395876	0.0389669	0.0437923	0.0526756
sample1000586	0.0425841	0.0432729	0.0462487	0.0206438	0	0.0475113	0.0432422	0.0407106	0.0502451	0.0416497	0.0458446	0.0447952	0.0479679	0.045977	0.0577933
sample1000602	0.037911	0.0410708	0.0395065	0.0428042	0.0475113	0	0.0417285	0.0451677	0.0503947	0.0471771	0.0490325	0.0451472	0.0477477	0.0479212	0.0622318
sample1000606	0.036235	0.0410032	0.0428677	0.0403509	0.0432422	0.0417285	0	0.0339016	0.0436654	0.0414866	0.0359678	0.0381662	0.0448842	0.0451964	0.0570934
sample1000613	0.0395057	0.0399572	0.0433007	0.0352462	0.0407106	0.0451677	0.0339016	0	0.0477341	0.0377769	0.0368835	0.0390625	0.0459534	0.0449115	0.0482383
sample1000615	0.04375	0.0489834	0.0574454	0.0465538	0.0502451	0.0503947	0.0436654	0.0477341	0	0.0454266	0.0491239	0.0453715	0.0517789	0.0519645	0.0510295
sample1000623	0.0406951	0.0440574	0.0441914	0.0365169	0.0416497	0.0471771	0.0414866	0.0377769	0.0454266	0	0.037792	0.034647	0.0455422	0.0439848	0.0508621
sample1000625	0.0421228	0.0460435	0.0452339	0.0484531	0.0458446	0.0490325	0.0359678	0.0368835	0.0491239	0.037792	0	0.0382028	0.0462012	0.0437882	0.050906
sample1000626	0.0405405	0.0413206	0.0419017	0.0395876	0.0447952	0.0451472	0.0381662	0.0390625	0.0453715	0.034647	0.0382028	0	0.0477583	0.0406893	0.0484282
sample1000628	0.0381274	0.0428374	0.0512704	0.0389669	0.0479679	0.0477477	0.0448842	0.0459534	0.0517789	0.0455422	0.0462012	0.0477583	0	0.0302381	0.0370518
sample1000640	0.0424837	0.0437891	0.0509795	0.0437923	0.045977	0.0479212	0.0451964	0.0449115	0.0519645	0.0439848	0.0437882	0.0406893	0.0302381	0	0.0103781
sample1000641	0.0539846	0.0527197	0.058097	0.0526756	0.0577933	0.0622318	0.0570934	0.0482383	0.0510295	0.0508621	0.050906	0.0484282	0.0370518	0.0103781	0
