Distance1	sample5111	sample5115	sample5119	sample5122	sample5125	sample5126	sample5128	sample5135	sample5136	sample5137	sample5138	sample5139	sample5140
sample5111	0	0.0134804	0.0131066	0.0113383	0.0800248	0.077269	0.0104294	0.0752101	0.0126887	0.0118809	0.0790409	0.0145745	0.0799689
sample5115	0.0134804	0	0.0186972	0.0174489	0.0628834	0.0645806	0.0168453	0.0630081	0.0158343	0.0171779	0.0598802	0.0171192	0.0654206
sample5119	0.0131066	0.0186972	0	0.0111453	0.077791	0.0755768	0.0127427	0.071256	0.00976216	0.0127737	0.0714286	0.0141466	0.0766313
sample5122	0.0113383	0.0174489	0.0111453	0	0.0759193	0.0764659	0.0120627	0.0714863	0.00676946	0.0121998	0.0762565	0.0119887	0.0792683
sample5125	0.0800248	0.0628834	0.077791	0.0759193	0	0.0087822	0.068	0.00946548	0.0785372	0.0848823	0.0061296	0.0730404	0.0110236
sample5126	0.077269	0.0645806	0.0755768	0.0764659	0.0087822	0	0.0721854	0.00631769	0.0748811	0.0822422	0.00907591	0.07321	0.0142248
sample5128	0.0104294	0.0168453	0.0127427	0.0120627	0.068	0.0721854	0	0.0725138	0.0110294	0.0124069	0.0578431	0.0136095	0.0653358
sample5135	0.0752101	0.0630081	0.071256	0.0714863	0.00946548	0.00631769	0.0725138	0	0.0739379	0.0780347	0.00644122	0.0686518	0.0100143
sample5136	0.0126887	0.0158343	0.00976216	0.00676946	0.0785372	0.0748811	0.0110294	0.0739379	0	0.0123924	0.08	0.0127138	0.0808157
sample5137	0.0118809	0.0171779	0.0127737	0.0121998	0.0848823	0.0822422	0.0124069	0.0780347	0.0123924	0	0.0805009	0.0128745	0.0843653
sample5138	0.0790409	0.0598802	0.0714286	0.0762565	0.0061296	0.00907591	0.0578431	0.00644122	0.08	0.0805009	0	0.0688468	0.00571429
sample5139	0.0145745	0.0171192	0.0141466	0.0119887	0.0730404	0.07321	0.0136095	0.0686518	0.0127138	0.0128745	0.0688468	0	0.075228
sample5140	0.0799689	0.0654206	0.0766313	0.0792683	0.0110236	0.0142248	0.0653358	0.0100143	0.0808157	0.0843653	0.00571429	0.075228	0
