Distance1	sample4307	sample4309	sample4316	sample4318	sample4325	sample4326	sample4327	sample4328	sample4329	sample4330	sample4335	sample4337	sample4343	sample4346	sample4353	sample4357	sample4369	sample4370	sample4371	sample4372	sample4373	sample4374	sample4375	sample4378
sample4307	0	0.0248075	0.0271862	0.0281237	0.0289199	0.0325939	0.0335516	0.0290723	0.0263397	0.0276126	0.0272171	0.0355054	0.0465658	0.0271446	0.0302209	0.0254181	0.085997	0.0743577	0.0731763	0.0788835	0.0823928	0.0837912	0.0261383	0.0242165
sample4309	0.0248075	0	0.0321782	0.0273405	0.0269542	0.0299111	0.0293874	0.0313773	0.0235964	0.013308	0.0200348	0.0273569	0.0480687	0.0209402	0.0259259	0.0162254	0.0665138	0.0749343	0.0812611	0.0740103	0.0749526	0.0678211	0.0196657	0.017562
sample4316	0.0271862	0.0321782	0	0.00943783	0.0342373	0.0304852	0.0305466	0.0313939	0.0259424	0.0266002	0.0258516	0.0322186	0.0492554	0.0290745	0.0279706	0.0309245	0.0844544	0.0700483	0.0678119	0.06942	0.0772532	0.0804054	0.0251046	0.0285442
sample4318	0.0281237	0.0273405	0.00943783	0	0.0308893	0.029191	0.0288848	0.0275357	0.0238196	0.0231287	0.0216086	0.0288889	0.0469457	0.0256268	0.0223516	0.0264516	0.0810811	0.0641501	0.0639386	0.0685879	0.0746429	0.0765583	0.0231092	0.0262405
sample4325	0.0289199	0.0269542	0.0342373	0.0308893	0	0.0280374	0.030426	0.0123859	0.0267797	0.0274336	0.0238628	0.0294915	0.0453564	0.0347222	0.0322148	0.025283	0.0732628	0.0745583	0.0771716	0.0742647	0.0805785	0.0751773	0.0186147	0.0205882
sample4326	0.0325939	0.0299111	0.0304852	0.029191	0.0280374	0	0.00858209	0.0284021	0.0238197	0.0180868	0.0257794	0.0272411	0.0477121	0.0274162	0.0262128	0.026148	0.0784024	0.0694379	0.0642384	0.0711429	0.0760945	0.0756757	0.0207469	0.0217593
sample4327	0.0335516	0.0293874	0.0305466	0.0288848	0.030426	0.00858209	0	0.0276811	0.0273592	0.0204082	0.0257485	0.0256291	0.0489922	0.0269895	0.0238476	0.0281736	0.0789074	0.0691894	0.0659533	0.0731847	0.078853	0.0797799	0.0218135	0.0215898
sample4328	0.0290723	0.0313773	0.0313939	0.0275357	0.0123859	0.0284021	0.0276811	0	0.0252202	0.0309365	0.025587	0.0289007	0.0468397	0.0279179	0.0253816	0.0226692	0.0794603	0.0701714	0.0693069	0.0751295	0.0883201	0.0791317	0.0195507	0.0253589
sample4329	0.0263397	0.0235964	0.0259424	0.0238196	0.0267797	0.0238197	0.0273592	0.0252202	0	0.0204337	0.0208459	0.0258925	0.0475504	0.0249302	0.0235457	0.020592	0.0787519	0.0665072	0.0646228	0.0689756	0.078816	0.0706371	0.0183333	0.0233556
sample4330	0.0276126	0.013308	0.0266002	0.0231287	0.0274336	0.0180868	0.0204082	0.0309365	0.0204337	0	0.0211389	0.0250424	0.0416316	0.0221088	0.0228595	0.0150215	0.0672205	0.0682211	0.0704526	0.0696475	0.0679745	0.0680851	0.0162524	0.0181635
sample4335	0.0272171	0.0200348	0.0258516	0.0216086	0.0238628	0.0257794	0.0257485	0.025587	0.0208459	0.0211389	0	0.0211765	0.0432596	0.027727	0.0231808	0.0207893	0.0760234	0.0713392	0.0726601	0.0721854	0.0761285	0.0778078	0.016115	0.0191176
sample4337	0.0355054	0.0273569	0.0322186	0.0288889	0.0294915	0.0272411	0.0256291	0.0289007	0.0258925	0.0250424	0.0211765	0	0.0508141	0.0270741	0.0243586	0.0297158	0.086072	0.0729718	0.0671063	0.0759057	0.0781362	0.0783745	0.0247691	0.0270936
sample4343	0.0465658	0.0480687	0.0492554	0.0469457	0.0453564	0.0477121	0.0489922	0.0468397	0.0475504	0.0416316	0.0432596	0.0508141	0	0.0519591	0.0489865	0.0508059	0.046176	0.0447154	0.0459641	0.0460772	0.0474426	0.0506757	0.0406114	0.0407662
sample4346	0.0271446	0.0209402	0.0290745	0.0256268	0.0347222	0.0274162	0.0269895	0.0279179	0.0249302	0.0221088	0.027727	0.0270741	0.0519591	0	0.0277228	0.0254461	0.0851227	0.0750452	0.0684109	0.0769454	0.0857039	0.0789845	0.0235849	0.0240905
sample4353	0.0302209	0.0259259	0.0279706	0.0223516	0.0322148	0.0262128	0.0238476	0.0253816	0.0235457	0.0228595	0.0231808	0.0243586	0.0489865	0.0277228	0	0.0285804	0.0791855	0.0665036	0.062549	0.0696815	0.0808045	0.0811554	0.0215947	0.0245979
sample4357	0.0254181	0.0162254	0.0309245	0.0264516	0.025283	0.026148	0.0281736	0.0226692	0.020592	0.0150215	0.0207893	0.0297158	0.0508059	0.0254461	0.0285804	0	0.0728228	0.0750341	0.0760055	0.0704722	0.0761134	0.0781032	0.0184391	0.0195122
sample4369	0.085997	0.0665138	0.0844544	0.0810811	0.0732628	0.0784024	0.0789074	0.0794603	0.0787519	0.0672205	0.0760234	0.086072	0.046176	0.0851227	0.0791855	0.0728228	0	0.0171703	0.0211749	0.012786	0.0172185	0.016129	0.068567	0.0713154
sample4370	0.0743577	0.0749343	0.0700483	0.0641501	0.0745583	0.0694379	0.0691894	0.0701714	0.0665072	0.0682211	0.0713392	0.0729718	0.0447154	0.0750452	0.0665036	0.0750341	0.0171703	0	0.0103245	0.0113575	0.0155013	0.0131234	0.0713664	0.0771912
sample4371	0.0731763	0.0812611	0.0678119	0.0639386	0.0771716	0.0642384	0.0659533	0.0693069	0.0646228	0.0704526	0.0726601	0.0671063	0.0459641	0.0684109	0.062549	0.0760055	0.0211749	0.0103245	0	0.011041	0.0145725	0.0181582	0.076286	0.0825871
sample4372	0.0788835	0.0740103	0.06942	0.0685879	0.0742647	0.0711429	0.0731847	0.0751295	0.0689756	0.0696475	0.0721854	0.0759057	0.0460772	0.0769454	0.0696815	0.0704722	0.012786	0.0113575	0.011041	0	0.0105442	0.0177665	0.0757576	0.079334
sample4373	0.0823928	0.0749526	0.0772532	0.0746429	0.0805785	0.0760945	0.078853	0.0883201	0.078816	0.0679745	0.0761285	0.0781362	0.0474426	0.0857039	0.0808045	0.0761134	0.0172185	0.0155013	0.0145725	0.0105442	0	0.0154639	0.0766055	0.0795218
sample4374	0.0837912	0.0678211	0.0804054	0.0765583	0.0751773	0.0756757	0.0797799	0.0791317	0.0706371	0.0680851	0.0778078	0.0783745	0.0506757	0.0789845	0.0811554	0.0781032	0.016129	0.0131234	0.0181582	0.0177665	0.0154639	0	0.0681159	0.0746606
sample4375	0.0261383	0.0196657	0.0251046	0.0231092	0.0186147	0.0207469	0.0218135	0.0195507	0.0183333	0.0162524	0.016115	0.0247691	0.0406114	0.0235849	0.0215947	0.0184391	0.068567	0.0713664	0.076286	0.0757576	0.0766055	0.0681159	0	0.0060241
sample4378	0.0242165	0.017562	0.0285442	0.0262405	0.0205882	0.0217593	0.0215898	0.0253589	0.0233556	0.0181635	0.0191176	0.0270936	0.0407662	0.0240905	0.0245979	0.0195122	0.0713154	0.0771912	0.0825871	0.079334	0.0795218	0.0746606	0.0060241	0
