Distance1	sample1000509	sample1000512	sample1000516	sample1000517	sample1000519	sample1000521	sample1000529	sample1000530	sample1000541	sample1000543	sample20442	sample20444	sample20445	sample20446	sample222	sample230	sample2307	sample2319	sample2323	sample2334	sample2336	sample2338	sample2340	sample2349	sample2351	sample2361	sample2362	sample2373	sample2374	sample2385	sample2387	sample2398	sample2399	sample280	sample285	sample32010	sample32014	sample32023	sample32024	sample32034	sample32035	sample32045	sample32046	sample32058	sample32059	sample32060	sample32061	sample32062	sample32063	sample32071	sample32072	sample32084	sample32085	sample32095	sample32098	sample35206	sample35211	sample35217	sample35218	sample35225	sample35228	sample35230	sample35231	sample35239	sample35240	sample35241	sample35242	sample35243	sample35244	sample35263	sample35265	sample35275	sample35279	sample35287	sample35288	sample35296	sample35297
sample1000509	0	0.0111068	0.0407022	0.0297362	0.0318262	0.0392157	0.0565115	0.0538549	0.0106538	0.00892008	0.0612113	0.0535289	0.0619178	0.0524194	0.0428719	0.0555974	0.0392654	0.0353325	0.0398255	0.0498888	0.0487056	0.013318	0.0107697	0.0591639	0.0610151	0.0146825	0.0180345	0.0451581	0.0450892	0.0083712	0.0522494	0.00806255	0.00973558	0.0394475	0.0387521	0.0589137	0.0480094	0.0346235	0.0350513	0.0364693	0.0431114	0.044363	0.0415811	0.0501276	0.0444895	0.047803	0.0351524	0.0482786	0.0429425	0.0356316	0.0451638	0.0473775	0.0360107	0.0471125	0.0460939	0.0488413	0.0444667	0.0727356	0.0569395	0.0468241	0.0483735	0.0575454	0.0342129	0.0409441	0.0545331	0.0402361	0.0332356	0.0325427	0.034411	0.0439448	0.0441339	0.0445071	0.0540333	0.0478927	0.0527532	0.05825	0.0473613
sample1000512	0.0111068	0	0.0372168	0.0390841	0.0379003	0.0386473	0.0607601	0.0613703	0.0107271	0.0130249	0.0520678	0.05031	0.0569035	0.0487748	0.0479819	0.0517792	0.0413661	0.0416667	0.0418251	0.059133	0.0547945	0.0152996	0.0127362	0.0546766	0.0612858	0.0145362	0.0162764	0.0527835	0.0542366	0.0139633	0.052737	0.012176	0.0138726	0.0485105	0.0477356	0.0493131	0.0442209	0.0414766	0.0456381	0.0449919	0.0438034	0.0555556	0.0502041	0.0448573	0.0430887	0.0427509	0.0422705	0.0452017	0.0419548	0.0426879	0.051153	0.0577324	0.0438312	0.0526642	0.055917	0.0577722	0.0530829	0.066055	0.0546603	0.0422734	0.0438682	0.048062	0.0279023	0.0333979	0.0523125	0.0349206	0.0315028	0.0335711	0.0364026	0.0531431	0.0509418	0.0564352	0.056871	0.0449541	0.0442539	0.0507246	0.0513727
sample1000516	0.0407022	0.0372168	0	0.015039	0.017131	0.0162302	0.0357143	0.0408041	0.0400895	0.0440444	0.0517241	0.0421789	0.0466377	0.0467701	0.0494094	0.0451375	0.0430063	0.0492874	0.0422705	0.0512769	0.0498593	0.0415309	0.0388844	0.04477	0.0530936	0.0327945	0.0379965	0.0507217	0.0526733	0.0400616	0.0497001	0.0402844	0.0398703	0.0500587	0.0510404	0.0425484	0.0439147	0.0436699	0.0476935	0.0429313	0.042915	0.0464427	0.0506986	0.0410037	0.0437307	0.0474699	0.0447171	0.042229	0.0452675	0.0421782	0.0499802	0.055754	0.0469851	0.0517379	0.0546136	0.0539196	0.0489525	0.0557078	0.0457746	0.0459318	0.0443201	0.0446053	0.0452703	0.0487572	0.0421326	0.0528587	0.0458481	0.0513894	0.0521624	0.052494	0.0487805	0.0535575	0.0495008	0.0459891	0.047272	0.047049	0.0493328
sample1000517	0.0297362	0.0390841	0.015039	0	0.010666	0.0186325	0.0366051	0.0359673	0.0337378	0.032494	0.0577411	0.0473988	0.0528169	0.0525617	0.0399349	0.049353	0.0401939	0.0409752	0.0382476	0.0426796	0.0428758	0.0395177	0.0343933	0.0506124	0.0601112	0.0384303	0.0454303	0.0376946	0.038792	0.0316319	0.049621	0.031358	0.0290557	0.0420015	0.040355	0.0500864	0.0492876	0.0359094	0.0383971	0.0372534	0.0440232	0.0388397	0.0385668	0.0505376	0.0449923	0.0570071	0.0375423	0.0485513	0.046944	0.0370417	0.0395854	0.0439024	0.0379823	0.0446672	0.0400049	0.0437743	0.0416049	0.0610092	0.0490566	0.0527066	0.0552532	0.0548266	0.0547734	0.0545541	0.046916	0.0522307	0.0456175	0.0485064	0.0500475	0.0430604	0.043407	0.0408236	0.0439494	0.048381	0.0509974	0.049456	0.043855
sample1000519	0.0318262	0.0379003	0.017131	0.010666	0	0.0187583	0.038931	0.0387234	0.0359854	0.0331582	0.0588734	0.046685	0.05076	0.0514677	0.0433814	0.0498678	0.0410256	0.0391582	0.0390782	0.0436798	0.0423613	0.0376197	0.0393688	0.0516081	0.0577952	0.0414583	0.0415084	0.0405648	0.0388574	0.0342224	0.0505878	0.0346649	0.0324133	0.0445231	0.0424788	0.0500875	0.0473235	0.0369967	0.0397871	0.0351499	0.0412242	0.0396681	0.0407602	0.0483339	0.0444902	0.0524174	0.0352184	0.047495	0.0444947	0.0374934	0.0397117	0.0431719	0.0371306	0.0429858	0.0388688	0.0412186	0.0408716	0.0619266	0.0477882	0.0537701	0.0546976	0.0559575	0.0509698	0.0572407	0.0465077	0.0545755	0.0483011	0.0493187	0.0514538	0.0432404	0.0419482	0.0410205	0.0428527	0.0481467	0.0507218	0.0466667	0.041989
sample1000521	0.0392157	0.0386473	0.0162302	0.0186325	0.0187583	0	0.0421827	0.0385563	0.0377219	0.0427058	0.0520099	0.0419664	0.0479489	0.0446	0.0494639	0.0512166	0.0443854	0.0480969	0.0403571	0.0519956	0.0508778	0.0421196	0.0383282	0.0447818	0.0548734	0.0369231	0.0418803	0.0473703	0.0489244	0.0372069	0.0481197	0.0383814	0.0376326	0.0515214	0.0521014	0.042103	0.0450256	0.0430393	0.046988	0.041074	0.0428151	0.0471634	0.0505994	0.0481677	0.0396108	0.0480814	0.0425311	0.0430041	0.0481355	0.0437893	0.0505033	0.0528596	0.0457192	0.0507853	0.0507745	0.049169	0.04782	0.0520833	0.0474939	0.0484811	0.0449625	0.0460766	0.0454545	0.048511	0.0407648	0.0543956	0.0475934	0.0476673	0.0484037	0.0507853	0.0445083	0.0499316	0.0440627	0.0442443	0.0485726	0.050911	0.0476019
sample1000529	0.0565115	0.0607601	0.0357143	0.0366051	0.038931	0.0421827	0	0.011794	0.0563744	0.0584329	0.0469663	0.037664	0.0429465	0.0414399	0.0452716	0.0431948	0.0499439	0.0528552	0.0475857	0.0385685	0.0391892	0.0606881	0.0562596	0.0395112	0.0470425	0.0589964	0.0588235	0.04375	0.0371165	0.055298	0.0448642	0.0561969	0.0565217	0.0420982	0.0440492	0.0430206	0.0465216	0.0414659	0.046535	0.0446794	0.0462523	0.0387054	0.043471	0.0528652	0.0483752	0.0488419	0.045621	0.0480396	0.0492958	0.0436401	0.0405314	0.044172	0.0467134	0.0394163	0.0398466	0.0432099	0.0357971	0.0441839	0.0373711	0.0506413	0.0521445	0.0468521	0.0607748	0.0528942	0.032037	0.0561674	0.0522218	0.053442	0.0526316	0.0471438	0.0441486	0.0446864	0.0363539	0.046173	0.0423977	0.0414916	0.0416811
sample1000530	0.0538549	0.0613703	0.0408041	0.0359673	0.0387234	0.0385563	0.011794	0	0.0587084	0.0577465	0.0524597	0.0393528	0.046663	0.0396701	0.0433014	0.0444148	0.0485012	0.0474251	0.0466049	0.0376569	0.0373969	0.0613908	0.0558099	0.0390098	0.0475672	0.0600931	0.0620133	0.0398592	0.0352231	0.0554926	0.0418791	0.0532253	0.0545247	0.0435825	0.0427972	0.0444057	0.0470728	0.0384502	0.0438152	0.0408971	0.0458225	0.0370633	0.0408455	0.0555139	0.0448253	0.052019	0.044382	0.0515213	0.051744	0.041954	0.0384725	0.0408048	0.044958	0.0380544	0.0367543	0.038985	0.0314262	0.0503503	0.0372517	0.0489583	0.0526998	0.0476529	0.0583218	0.0538312	0.030564	0.059956	0.0527854	0.0564542	0.0545672	0.0439498	0.0409811	0.0427066	0.0309493	0.0459144	0.0452065	0.0451128	0.0384845
sample1000541	0.0106538	0.0107271	0.0400895	0.0337378	0.0359854	0.0377219	0.0563744	0.0587084	0	0.00942302	0.0560769	0.052686	0.0585165	0.0509426	0.0424765	0.0554452	0.042273	0.0382196	0.0414769	0.0500973	0.0503494	0.0136913	0.0131034	0.057183	0.0588578	0.0138258	0.0166139	0.0495203	0.046683	0.0136809	0.0518743	0.0110947	0.0132431	0.0448581	0.0449985	0.0539372	0.0459514	0.0385218	0.0410311	0.0419284	0.0426997	0.0485075	0.0442765	0.0483933	0.0449827	0.0473343	0.0399274	0.0468685	0.0433754	0.0389147	0.0489422	0.0514048	0.041021	0.0467435	0.0499225	0.0513989	0.0491577	0.068654	0.057047	0.0440185	0.0468476	0.0541401	0.0336191	0.0384246	0.0534521	0.033264	0.030799	0.0332678	0.0336505	0.0490104	0.0464427	0.0504419	0.0551291	0.0465776	0.0465447	0.0517066	0.047954
sample1000543	0.00892008	0.0130249	0.0440444	0.032494	0.0331582	0.0427058	0.0584329	0.0577465	0.00942302	0	0.0638071	0.0553398	0.0636561	0.0541267	0.043523	0.0577137	0.0401448	0.037013	0.0401003	0.0507488	0.0494286	0.0150925	0.0136292	0.0601324	0.0650492	0.0138395	0.0185282	0.0465674	0.046111	0.0106434	0.0553043	0.0111684	0.0132498	0.045545	0.0430293	0.0614342	0.0515564	0.037115	0.0383387	0.0391543	0.0434584	0.0472511	0.0430218	0.0499279	0.0441267	0.0538535	0.0356879	0.0492157	0.0455724	0.0374871	0.0463508	0.0491105	0.0378937	0.0487218	0.0499115	0.0514743	0.0461055	0.0781108	0.0586538	0.0468119	0.0532718	0.0590888	0.0395952	0.0472973	0.0574503	0.044086	0.0326122	0.0321562	0.0369489	0.0466375	0.0472091	0.0470328	0.0563145	0.0506233	0.0545385	0.0577582	0.0492312
