Distance1	sample1000552	sample1000557	sample1000568	sample1000580	sample1000581	sample1000590	sample1000594	sample1000596	sample1000610	sample1000612	sample1000617	sample1000618	sample1000619	sample1000620	sample1000621	sample1000622	sample1000631	sample1000635
sample1000552	0	0.0250768	0.0148166	0.0360088	0.0310707	0.0634366	0.0436242	0.0398467	0.0360092	0.0389948	0.039859	0.0344101	0.040678	0.042917	0.0375687	0.0370121	0.0329011	0.0295567
sample1000557	0.0250768	0	0.0289032	0.03209	0.0328485	0.0629921	0.0444744	0.0431491	0.0425478	0.0435294	0.0416195	0.0423902	0.0424743	0.0454233	0.03961	0.0424881	0.0317221	0.0305802
sample1000568	0.0148166	0.0289032	0	0.0382337	0.0320574	0.0666023	0.052168	0.0432982	0.0407341	0.0437853	0.0425936	0.0398517	0.0435378	0.0440574	0.0401308	0.0429242	0.0364534	0.0318676
sample1000580	0.0360088	0.03209	0.0382337	0	0.026766	0.062253	0.0489933	0.046851	0.03894	0.0363914	0.036036	0.0409165	0.0360733	0.0408654	0.034375	0.0376454	0.0409612	0.0368151
sample1000581	0.0310707	0.0328485	0.0320574	0.026766	0	0.0707171	0.0444145	0.0354717	0.0343049	0.0413732	0.0386266	0.0413983	0.0426379	0.0399439	0.0381125	0.0425101	0.0389134	0.0331695
sample1000590	0.0634366	0.0629921	0.0666023	0.062253	0.0707171	0	0.0522828	0.0553797	0.0601173	0.062751	0.059633	0.0693069	0.0641399	0.0691221	0.062251	0.0573514	0.0593385	0.0585
sample1000594	0.0436242	0.0444744	0.052168	0.0489933	0.0444145	0.0522828	0	0.0171958	0.034413	0.0380952	0.0435657	0.0455172	0.0433912	0.0433018	0.0376984	0.0375171	0.0440771	0.0376344
sample1000596	0.0398467	0.0431491	0.0432982	0.046851	0.0354717	0.0553797	0.0171958	0	0.0327625	0.0348567	0.0353031	0.0387509	0.0394334	0.0378356	0.0334615	0.0364964	0.038893	0.0327175
sample1000610	0.0360092	0.0425478	0.0407341	0.03894	0.0343049	0.0601173	0.034413	0.0327625	0	0.0277778	0.0301702	0.0311585	0.0291871	0.0337423	0.0286215	0.0293542	0.0271003	0.0253807
sample1000612	0.0389948	0.0435294	0.0437853	0.0363914	0.0413732	0.062751	0.0380952	0.0348567	0.0277778	0	0.00909624	0.0127787	0.0117816	0.0155196	0.00983405	0.00838364	0.0316704	0.03011
sample1000617	0.039859	0.0416195	0.0425936	0.036036	0.0386266	0.059633	0.0435657	0.0353031	0.0301702	0.00909624	0	0.011552	0.012	0.0144879	0.00981595	0.00764628	0.0321877	0.028022
sample1000618	0.0344101	0.0423902	0.0398517	0.0409165	0.0413983	0.0693069	0.0455172	0.0387509	0.0311585	0.0127787	0.011552	0	0.0122929	0.013935	0.0143102	0.0117311	0.0335838	0.0277512
sample1000619	0.040678	0.0424743	0.0435378	0.0360733	0.0426379	0.0641399	0.0433912	0.0394334	0.0291871	0.0117816	0.012	0.0122929	0	0.0102828	0.0118469	0.0105332	0.0333151	0.0291762
sample1000620	0.042917	0.0454233	0.0440574	0.0408654	0.0399439	0.0691221	0.0433018	0.0378356	0.0337423	0.0155196	0.0144879	0.013935	0.0102828	0	0.0149966	0.0112727	0.0360512	0.034965
sample1000621	0.0375687	0.03961	0.0401308	0.034375	0.0381125	0.062251	0.0376984	0.0334615	0.0286215	0.00983405	0.00981595	0.0143102	0.0118469	0.0149966	0	0.00786594	0.0301876	0.0284676
sample1000622	0.0370121	0.0424881	0.0429242	0.0376454	0.0425101	0.0573514	0.0375171	0.0364964	0.0293542	0.00838364	0.00764628	0.0117311	0.0105332	0.0112727	0.00786594	0	0.0280899	0.0258264
sample1000631	0.0329011	0.0317221	0.0364534	0.0409612	0.0389134	0.0593385	0.0440771	0.038893	0.0271003	0.0316704	0.0321877	0.0335838	0.0333151	0.0360512	0.0301876	0.0280899	0	0.0139624
sample1000635	0.0295567	0.0305802	0.0318676	0.0368151	0.0331695	0.0585	0.0376344	0.0327175	0.0253807	0.03011	0.028022	0.0277512	0.0291762	0.034965	0.0284676	0.0258264	0.0139624	0
