Distance1	sample5151	sample5155	sample5157	sample5158	sample5163	sample5166	sample5167	sample5168	sample5169	sample5172	sample5176	sample5178	sample5181	sample5185	sample5187	sample5190
sample5151	0	0.028257	0.00744133	0.00589971	0.0310819	0.010669	0.0712845	0.00844496	0.0722506	0.075188	0.0110787	0.0100575	0.00854701	0.0105835	0.0118224	0.0110723
sample5155	0.028257	0	0.0269685	0.0255459	0.0362782	0.0256262	0.0690578	0.0276949	0.0699301	0.0703646	0.026945	0.0284984	0.0266136	0.0268344	0.0297236	0.0276665
sample5157	0.00744133	0.0269685	0	0.0113949	0.0276222	0.00962586	0.0684154	0.0117429	0.0655667	0.0658671	0.00810519	0.00739098	0.0116564	0.00937749	0.00976492	0.00938151
sample5158	0.00589971	0.0255459	0.0113949	0	0.0293055	0.00888275	0.0704918	0.0096608	0.0690056	0.0703593	0.00928793	0.0114091	0.00987395	0.00990308	0.0118816	0.0130682
sample5163	0.0310819	0.0362782	0.0276222	0.0293055	0	0.0281792	0.0595174	0.0331526	0.058351	0.0565431	0.0281081	0.0271129	0.0308872	0.0284719	0.0312614	0.0307953
sample5166	0.010669	0.0256262	0.00962586	0.00888275	0.0281792	0	0.0755592	0.0107172	0.0704526	0.0710151	0.00928903	0.009877	0.0110339	0.0102369	0.0123982	0.0128763
sample5167	0.0712845	0.0690578	0.0684154	0.0704918	0.0595174	0.0755592	0	0.0690309	0.00649675	0.00824442	0.0764075	0.0735528	0.0701565	0.0692392	0.0760456	0.0757979
sample5168	0.00844496	0.0276949	0.0117429	0.0096608	0.0331526	0.0107172	0.0690309	0	0.0668849	0.068958	0.00850891	0.012931	0.00814751	0.0110918	0.0113131	0.0131207
sample5169	0.0722506	0.0699301	0.0655667	0.0690056	0.058351	0.0704526	0.00649675	0.0668849	0	0.0104167	0.0706383	0.0687716	0.0683419	0.0695771	0.0693259	0.0711656
sample5172	0.075188	0.0703646	0.0658671	0.0703593	0.0565431	0.0710151	0.00824442	0.068958	0.0104167	0	0.0714832	0.0692062	0.0708023	0.0704408	0.0704787	0.073197
sample5176	0.0110787	0.026945	0.00810519	0.00928793	0.0281081	0.00928903	0.0764075	0.00850891	0.0706383	0.0714832	0	0.00907112	0.00941884	0.0121611	0.0115627	0.0114478
sample5178	0.0100575	0.0284984	0.00739098	0.0114091	0.0271129	0.009877	0.0735528	0.012931	0.0687716	0.0692062	0.00907112	0	0.00990299	0.0110486	0.0109051	0.0144953
sample5181	0.00854701	0.0266136	0.0116564	0.00987395	0.0308872	0.0110339	0.0701565	0.00814751	0.0683419	0.0708023	0.00941884	0.00990299	0	0.00832622	0.0118712	0.0120744
sample5185	0.0105835	0.0268344	0.00937749	0.00990308	0.0284719	0.0102369	0.0692392	0.0110918	0.0695771	0.0704408	0.0121611	0.0110486	0.00832622	0	0.0132106	0.0131321
sample5187	0.0118224	0.0297236	0.00976492	0.0118816	0.0312614	0.0123982	0.0760456	0.0113131	0.0693259	0.0704787	0.0115627	0.0109051	0.0118712	0.0132106	0	0.0124461
sample5190	0.0110723	0.0276665	0.00938151	0.0130682	0.0307953	0.0128763	0.0757979	0.0131207	0.0711656	0.073197	0.0114478	0.0144953	0.0120744	0.0131321	0.0124461	0
