DNASample	Genus	Species	Population	Basin	Basi2
1000509	Eichhornia	crassipes	Taq_4	Pantanal	Pantanal_Taq_4
1000512	Eichhornia	crassipes	Taq_4	Pantanal	Pantanal_Taq_4
1000516	Eichhornia	crassipes	Taq_5	Pantanal	Pantanal_Taq_5
1000517	Eichhornia	crassipes	Taq_5	Pantanal	Pantanal_Taq_5
1000519	Eichhornia	crassipes	Taq_5	Pantanal	Pantanal_Taq_5
1000520	Eichhornia	crassipes	Taq_5	Pantanal	Pantanal_Taq_5
1000521	Eichhornia	crassipes	Taq_5	Pantanal	Pantanal_Taq_5
1000529	Eichhornia	crassipes	Taq_6	Pantanal	Pantanal_Taq_6
1000530	Eichhornia	crassipes	Taq_6	Pantanal	Pantanal_Taq_6
1000541	Eichhornia	crassipes	Taq_7	Pantanal	Pantanal_Taq_7
1000543	Eichhornia	crassipes	Taq_7	Pantanal	Pantanal_Taq_7
1000552	Eichhornia	crassipes	Parana_2_-_Rancho_do_Arno	Parana	Parana_Parana_2_-_Ranc
1000557	Eichhornia	crassipes	Parana_2_-_Rancho_do_Arno	Parana	Parana_Parana_2_-_Ranc
1000568	Eichhornia	crassipes	Parana_3_-_Guaira	Parana	Parana_Parana_3_-_GuaÔ
1000580	Eichhornia	crassipes	Parana_4_-_Ponte_PR_MS	Parana	Parana_Parana_4_-_Pont
1000581	Eichhornia	crassipes	Parana_4_-_Ponte_PR_MS	Parana	Parana_Parana_4_-_Pont
1000588	Eichhornia	crassipes	Parana_1_-_Voltando_das_cataratas	Parana	Parana_Parana_1_-_Volt
1000590	Eichhornia	crassipes	Parana_1_-_Voltando_das_cataratas	Parana	Parana_Parana_1_-_Volt
1000594	Eichhornia	crassipes	Parana_1_-_Lago_Itaipu	Parana	Parana_Parana_1_-_Lago
1000596	Eichhornia	crassipes	Parana_1_-_Lago_Itaipu	Parana	Parana_Parana_1_-_Lago
1000610	Eichhornia	crassipes	Parana_5_-_Rosana_com_Aldo	Parana	Parana_Parana_5_-_Rosa
1000612	Eichhornia	crassipes	Parana_5_-_Rosana_com_Aldo	Parana	Parana_Parana_5_-_Rosa
1000617	Eichhornia	crassipes	Parana_6_-_Rio_Pardo	Parana	Parana_Parana_6_-_Rio_
1000618	Eichhornia	crassipes	Parana_6_-_Rio_Pardo	Parana	Parana_Parana_6_-_Rio_
1000619	Eichhornia	crassipes	Parana_6_-_Rio_Pardo	Parana	Parana_Parana_6_-_Rio_
1000620	Eichhornia	crassipes	Parana_6_-_Rio_Pardo	Parana	Parana_Parana_6_-_Rio_
1000621	Eichhornia	crassipes	Parana_6_-_Rio_Pardo	Parana	Parana_Parana_6_-_Rio_
